lemma,POS,ipm,freq
җавап,n,"433,9675999",10742
башкорт,n,"431,180059",10673
әлегә,adv,"430,7760675",10663
алга,adv,"428,9177069",10617
кара,v,"425,7261746",10538
чын,adj,"422,9386337",10469
агентлык,n,"422,4134448",10456
сал,vaux,"422,2922474",10453
дөрес,adj,"421,5650628",10435
калган,n,"420,7570799",10415
ия,n,"419,8682988",10393
мин,n,"419,3431099",10380
күргәзмә,n,"418,2523331",10353
карата,post,"417,9291399",10345
көрәш,n,"415,0204016",10273
барыш,n,"414,293217",10255
тавыш,n,"413,9700238",10247
галим,n,"410,3341009",10157
карар,n,"409,9705086",10148
сәламәтлек,n,"409,4857189",10136
конференция,n,"408,394942",10109
җыр,n,"406,8193754",10070
канун,n,"406,0921908",10052
елгы,adj,"404,8398174",10021
игълан,n,"403,9106371",9998
уңай,n,"403,3046499",9983
түлә,v,"400,8403022",9922
фән,n,"395,426817",9788
яшәүче,n,"391,9120915",9701
әгәр,cnjsub,"390,6193189",9669
сәясәт,n,"390,4981214",9666
шактый,adj,"389,528542",9642
яр,n,"389,4477437",9640
аст,n,"386,7814002",9574
фонд,n,"386,7814002",9574
зыян,n,"384,5998465",9520
мәхкәмә,n,"383,9938593",9505
чират,n,"383,7110653",9498
универсиада,n,"382,9838807",9480
бас,v,"382,6606876",9472
ның,gen,"381,9739022",9455
иреш,v,"381,2063184",9436
уңыш,n,"381,0043227",9431
ту,v,"379,1863612",9386
премьер-министр,n,"378,6611724",9373
кил,v,"378,0147861",9357
территория,n,"377,5299964",9345
элемтә,n,"375,3888418",9292
мөнәсәбәт,n,"370,2581505",9165
икътисади,adj,"369,8945582",9156
арттыр,v,"368,8037814",9129
май,n,"367,5110088",9097
гасыр,n,"366,2990345",9067
җирле,adj,"365,8142447",9055
сайлау,n,"364,9254636",9033
аз,adj,"364,5214721",9023
егет,n,"363,7538884",9004
фикеренчә,cnjadv,"362,5419141",8974
вакыйга,n,"360,5623561",8925
комиссия,n,"359,1079869",8889
документ,n,"359,0675878",8888
хатын-кыз,n,"358,5019998",8874
ярыш,n,"355,2296691",8793
әсәр,n,"354,906476",8785
транспорт,n,"352,9269179",8736
тырыш,v,"351,7149436",8706
күпчелек,n,"347,5538319",8603
сугыш,n,"346,5842524",8579
бердәм,adj,"345,9782653",8564
ор,v,"345,6550721",8556
нәкъ,adv,"344,6046944",8530
урта,adj,"343,5947158",8505
башкарма,adj,"341,4535612",8452
җәлеп,n,"337,5752434",8356
тәртип,n,"336,040076",8318
медицина,n,"335,1512948",8296
аеруча,adv,"333,9797196",8267
ачык,adj,"332,4445522",8229
төш,v,"332,121359",8221
үстерү,n,"331,1517796",8197
сәбәпле,adj,"331,0709813",8195
иҗтимагый,adj,"330,424595",8179
үткән,adj,"330,2629984",8175
булдыр,v,"329,859007",8165
күңел,n,"329,8186078",8164
күзәт,v,"329,3338181",8152
сәфәр,n,"328,4854361",8131
тиешле,adj,"328,4854361",8131
тантана,n,"327,879449",8116
сәяси,adj,"326,7886721",8089
теркә,v,"326,2230841",8075
икътисад,n,"324,6071183",8035
кыр,n,"324,52632",8033
ачыкла,v,"324,0415303",8021
нефть,n,"324,0011312",8020
тарт,v,"323,7587363",8014
план,n,"322,8699552",7992
комплекс,n,"322,6275603",7986
кире,adj,"321,981174",7970
бүл,v,"321,3751868",7955
хәтта,adv,"320,9307963",7944
тудыр,v,"319,4764271",7908
язма,n,"319,3956288",7906
сәүдә,n,"319,153234",7900
авыр,adj,"318,5068477",7884
җиң,v,"318,3048519",7879
граждан,n,"317,7796631",7866
кунак,n,"317,5776674",7861
утыр,vaux,"316,9716802",7846
кичә,adv,"316,2848948",7829
файдалан,v,"316,0424999",7823
танылган,adj,"314,7093282",7790
ширкәт,n,"314,6285299",7788
шәхси,adj,"314,6285299",7788
күрсәткеч,n,"312,8105684",7743
яшьлек,adj,"312,7297701",7741
тулы,adj,"312,3257787",7731
тәҗрибә,n,"312,3257787",7731
лаек,adj,"311,5177958",7711
хисап,n,"311,0330061",7699
аңлат,v,"310,8714095",7695
музей,n,"308,6898558",7641
тармак,n,"306,9122935",7597
күптән,adv,"305,7407183",7568
сәбәп,n,"305,5791217",7564
матур,adj,"305,1347311",7553
һәлак,n,"304,6903406",7542
ягъни,cnjsub,"304,0439543",7526
элекке,adj,"303,8823577",7522
теләк,n,"303,1955723",7505
әлбәттә,adv,"301,8220014",7471
км,abbr,"301,6200057",7466
дәүләт,n,"301,2968125",7458
төзү,n,"301,2968125",7458
төшер,v,"301,2160142",7456
рәхмәт,ij,"300,8524219",7447
тамак,n,"300,7716236",7445
ахыр,n,"300,5696279",7440
киңәшмә,n,"299,5192502",7414
дүрт,num,"298,913263",7399
үс,v,"298,4284733",7387
әйтүенчә,cnjadv,"298,3880742",7386
барысы,adv,"298,2264776",7382
үзгәреш,n,"298,2264776",7382
агымдагы,adj,"297,782087",7371
шөгыльлән,v,"297,5396922",7365
партия,n,"297,2568982",7358
мәдәни,adj,"295,8429281",7323
форум,n,"295,6409324",7318
төр,n,"295,3581384",7311
тема,n,"293,3785804",7262
сыйфат,n,"293,0149881",7253
чит,n,"292,7321941",7246
институт,n,"292,5301984",7241
укыт,v,"291,4798206",7215
бер,det,"291,03543",7204
хәзрәт,n,"290,8738335",7200
яз,v,"288,6518806",7145
шура,n,"288,5710823",7143
технология,n,"285,1371551",7058
дини,adj,"284,9755585",7054
ачу,n,"284,0059791",7030
ял,n,"284,0059791",7030
гадәт,n,"283,4807902",7017
бетер,vaux,"282,6728073",6997
татарча,adv,"281,9456228",6979
сул,adj,"281,6224296",6971
федерация,n,"280,4912536",6943
искәрт,v,"279,6428716",6922
тонна,n,"279,1176827",6909
тарихи,adj,"278,9560861",6905
бәялә,v,"278,7136913",6899
җәмәгатьчелек,n,"278,5520947",6895
тимер,n,"277,8653093",6878
ветеран,n,"277,8249101",6877
уртак,adj,"277,7441118",6875
продукция,n,"277,0169272",6857
дума,n,"276,7341332",6850
чагыштыр,v,"276,3301418",6840
калдыр,v,"275,8857512",6829
син,prn,"274,9161718",6805
учреждение,n,"274,7141761",6800
март,n,"274,4313821",6793
карамастан,post,"273,9869915",6782
һава,n,"273,2598069",6764
азатлык,n,"272,8154163",6753
биш,num,"272,4922232",6745
кыл,v,"272,3710257",6742
ай,ij,"271,1590514",6712
бүләклә,v,"270,5530643",6697
декабрь,n,"270,5126651",6696
яклау,n,"270,4318668",6694
ак,adj,"270,189472",6688
гомер,n,"269,8662788",6680
киң,adj,"269,4218883",6669
ул,n,"268,6139054",6649
шагыйрь,n,"268,0887165",6636
әзерлек,n,"268,0079182",6634
расла,v,"267,8463217",6630
тышкы,adj,"267,6847251",6626
уңай,adj,"267,4019311",6619
актив,adj,"267,0787379",6611
октябрь,n,"266,8363431",6605
исәплә,v,"266,3111542",6592
финанс,n,"265,7455662",6578
тирә,n,"265,4627722",6571
бакча,n,"264,8971842",6557
кече,adj,"264,2103987",6540
бөек,adj,"263,8064073",6530
киләсе,adj,"262,9176261",6508
өст,n,"262,4732356",6497
ирек,n,"262,3924373",6495
әдәбият,n,"260,3724801",6445
әзер,adj,"258,3121238",6394
ярты,n,"257,9485315",6385
өстәмә,adj,"257,5041409",6374
исемле,adj,"257,2617461",6368
аңла,v,"256,7365572",6355
һөҗүм,n,"256,7365572",6355
боз,v,"256,6153598",6352
бөтендөнья,adj,"255,1609906",6316
яула,v,"255,1609906",6316
йөз,n,"254,7973983",6307
авыр,v,"254,4742051",6299
кытай,n,"253,5450248",6276
үстер,v,"253,1814326",6267
август,n,"253,1006343",6265
көчле,adj,"252,9794368",6262
алтын,n,"251,8078617",6233
сайт,n,"250,9190805",6211
гаеплә,v,"249,2223165",6169
исемлек,n,"249,1819173",6168
гомумән,adv,"248,8991233",6161
тулысынча,adv,"248,2123379",6144
автомобиль,n,"247,0811619",6116
сәхнә,n,"246,838767",6110
артист,n,"246,6771704",6106
кунакла,v,"246,4751747",6101
миллиард,num,"245,8691876",6086
бет,vaux,"245,2632004",6071
заман,n,"244,7380116",6058
даими,adj,"244,293621",6047
очрашу,n,"244,1724235",6044
сентябрь,n,"243,6876338",6032
мәсәлән,ij,"242,1928655",5995
мәгълүм,adj,"240,5365006",5954
тиз,adj,"240,4153032",5951
йөрт,v,"239,526522",5929
шартла,v,"239,3245263",5924
җиңүче,n,"239,3245263",5924
полиция,n,"239,1629297",5920
как,v,"238,4357452",5902
өлкән,adj,"238,395346",5901
уңышлы,adj,"238,1529512",5895
клуб,n,"237,1833717",5871
гыйнвар,n,"236,4965863",5854
парламент,n,"235,6886034",5834
үтә,v,"235,6886034",5834
генераль,adj,"233,5070497",5780
җырчы,n,"232,6586676",5759
котла,v,"231,7294873",5736
уйна,v,"231,2042985",5723
күп,n,"230,9215045",5716
салым,n,"230,1943199",5698
сәнәгать,n,"229,5479336",5682
нык,adj,"229,5075344",5681
июнь,n,"229,103543",5671
бирле,post,"228,820749",5664
уздыр,v,"228,537955",5657
шәхес,n,"228,3359593",5652
әллә,cnjcoo,"228,0531653",5645
янгын,n,"227,6491738",5635
тул,v,"227,5683756",5633
академия,n,"226,5179978",5607
иске,adj,"226,3160021",5602
җәмгыять,n,"225,6696158",5586
ханым,n,"225,5080192",5582
бигрәк,adv,"224,7404355",5563
ким,adj,"224,4172424",5555
банк,n,"224,2152466",5550
зал,n,"223,7304569",5538
завод,n,"223,2456672",5526
хат,n,"221,6701006",5487
ана,n,"221,508504",5483
радио,n,"221,3873066",5480
мисал,n,"221,22571",5476
уртача,adj,"220,4581263",5457
аннары,adv,"220,4177271",5456
апрель,n,"220,0541349",5447
фәнни,adj,"219,8925383",5443
килешү,n,"218,9229588",5419
тупла,v,"218,9229588",5419
еллык,n,"218,8825597",5418
катнаш,n,"218,5189674",5409
җанисәп,n,"218,3169717",5404
күч,v,"218,2765725",5403
изге,adj,"217,7109845",5389
баз,v,"217,2261948",5377
заманча,adj,"216,9434008",5370
сугыш,adj,"216,6606068",5363
сыйныф,n,"213,8730659",5294
иминлек,n,"213,3882762",5282
автор,n,"212,9438856",5271
димәк,ij,"212,9034864",5270
бард,n,"211,7723104",5242
ераклык,n,"211,6915121",5240
үтә,adv,"211,3279198",5231
әйбер,n,"211,0451258",5224
еш,adj,"210,4391387",5209
февраль,n,"210,4391387",5209
җитди,adj,"209,9139498",5196
башта,adj,"209,7927524",5193
планлаштыр,v,"209,1867652",5178
һәйкәл,n,"208,7423747",5167
каршылык,n,"208,6615764",5165
бай,adj,"207,4496021",5135
озак,adj,"206,8032158",5119
роль,n,"205,8740355",5096
состав,n,"205,7124389",5092
хөкем,n,"205,6720398",5091
әфәнде,n,"204,9448552",5073
алабуга,n,"204,7428595",5068
урнаштыр,v,"204,5812629",5064
хастаханә,n,"204,5004646",5062
җиңү,n,"203,7328809",5043
сал,v,"203,6520826",5041
басым,n,"203,490486",5037
акция,n,"203,1268937",5028
ерак,adj,"202,7633014",5019
юлла,v,"202,7229023",5018
бистә,n,"201,6725245",4992
булдыру,n,"201,510928",4988
бәлки,cnjcoo,"201,2685331",4982
кызыклы,adj,"200,9049408",4973
спортчы,n,"200,9049408",4973
чак,n,"200,5817477",4965
ышан,v,"199,9757605",4950
аер,v,"198,7233871",4919
еллык,adj,"198,1577991",4905
ватан,n,"197,7134085",4894
өмет,n,"197,3902153",4886
кайтар,v,"197,2286188",4882
суд,n,"196,9862239",4876
чик,n,"196,8246273",4872
гомуми,adj,"196,2590393",4858
өй,n,"195,7338504",4845
эре,adj,"195,4510564",4838
җыен,n,"195,047065",4828
борчы,v,"195,0066659",4827
җиңел,adj,"193,7542924",4796
яшәү,n,"192,3403224",4761
иртә,n,"192,219125",4758
кирәклек,n,"192,219125",4758
яп,v,"191,7343352",4746
буын,n,"191,6535369",4744
торучы,n,"191,6131378",4743
челтәр,n,"191,3707429",4737
алдан,adv,"191,3303438",4736
берәмлек,n,"190,5223609",4716
мэр,n,"190,1183695",4706
Әфганстан,np,"189,7547772",4697
корал,n,"189,0275926",4679
гади,adj,"188,3408072",4662
контроль,n,"188,1792106",4658
шигырь,n,"187,6540217",4645
зат,n,"187,6136226",4644
куллану,n,"186,9268372",4627
ут,n,"186,7248414",4622
үл,v,"186,32085",4612
мәртәбә,n,"186,1188543",4607
чиклә,v,"185,9976568",4604
милиция,n,"185,9572577",4603
прокуратура,n,"185,7956611",4599
пассажир,n,"184,8260817",4575
бернинди,det,"183,5737082",4544
күренеш,n,"182,6849271",4522
яшел,adj,"182,4021331",4515
әйлән,v,"182,0789399",4507
июль,n,"181,8365451",4501
корбан,n,"181,6749485",4497
җәмәгать,adj,"181,4729528",4492
ни,prn,"181,3921545",4490
сөт,n,"181,1093605",4483
Әлмәт,np,"181,1093605",4483
ноябрь,n,"180,8669656",4477
концерт,n,"180,422575",4466
күчер,v,"180,0993819",4458
хәбәрче,n,"180,0993819",4458
арт,n,"179,7357896",4449
барс,n,"179,5337939",4444
тәрбиялә,v,"179,1702016",4435
оста,n,"178,4026179",4416
электрон,adj,"178,3622187",4415
эзлә,v,"178,0390256",4407
үрнәк,n,"177,9986264",4406
туктат,v,"177,594635",4396
кагыйдә,n,"176,0190684",4357
алдагы,adj,"175,9382701",4355
басма,n,"175,9382701",4355
дәрес,n,"175,8170727",4352
музыка,n,"175,4534804",4343
үзара,adj,"174,8474932",4328
өстә,v,"174,4435018",4318
арка,n,"174,4031027",4317
ярат,v,"174,3223044",4315
газ,n,"173,0699309",4284
арала,v,"172,4639438",4269
кагылышлы,adj,"172,4639438",4269
хуҗа,n,"171,7771583",4252
бөтенләй,adv,"171,7367592",4251
интернет,n,"171,69636",4250
млн,abbr,"171,69636",4250
үтер,v,"171,5347635",4246
мисс,n,"171,0499737",4234
олы,adj,"170,6055832",4223
ят,vaux,"170,0803943",4210
тел,v,"169,6360037",4199
мәҗбүр,adj,"169,3936089",4193
инвестиция,n,"168,7472226",4177
материал,n,"168,0604371",4160
сорау,n,"167,8180423",4154
ага,n,"167,4948491",4146
метр,n,"166,9292611",4132
чыгым,n,"166,606068",4124
азат,adj,"166,3636731",4118
болгар,n,"166,0808791",4111
тапшыру,n,"166,0404799",4110
тарат,v,"165,9192825",4107
азык-төлек,n,"165,3536945",4093
хата,n,"165,2728962",4091
әнә,adv,"165,0305014",4085
начар,adj,"164,9497031",4083
кечкенә,adj,"164,7073082",4077
рөхсәт,n,"164,0205228",4060
диния,n,"163,8993253",4057
гектар,n,"163,7377288",4053
кич,adv,"163,6569305",4051
чыгу,n,"163,3741365",4044
спектакль,n,"162,0813639",4012
кызыл,adj,"160,5865956",3975
чемпионат,n,"160,5865956",3975
үлем,n,"160,2634024",3967
оппозиция,n,"160,1018058",3963
бюджет,n,"159,9402093",3959
җаваплылык,n,"159,8998101",3958
таныштыр,v,"159,4958187",3948
коллектив,n,"159,293823",3943
ансамбль,n,"158,9706298",3935
этап,n,"158,8494324",3932
чираттагы,adj,"158,8090332",3931
күбесе,n,"158,7686341",3930
хөрмәт,n,"158,728235",3929
үзгәрт,v,"158,3646427",3920
ун,num,"158,0818487",3913
техника,n,"158,0010504",3911
җырла,v,"157,8798529",3908
кара,adj,"157,6778572",3903
борынгы,adj,"157,6374581",3902
медаль,n,"157,1930675",3891
кабинет,n,"156,9910718",3886
корылтай,n,"156,8698744",3883
төс,n,"156,5062821",3874
энергия,n,"156,3850846",3871
кор,v,"156,3446855",3870
дус,n,"156,2234881",3867
файда,n,"155,5771018",3851
әһәмият,n,"155,2135095",3842
