lemma,POS,freq,ipm
ата,v,57485,"495,5603448"
уен,n,57110,"492,3275862"
университет,n,56508,"487,137931"
аст,n,56405,"486,25"
яшәүче,n,56149,"484,0431034"
студент,n,56055,"483,2327586"
кара,vaux,56040,"483,1034483"
язучы,n,55897,"481,8706897"
предприятие,n,55633,"479,5948276"
тавыш,n,55595,"479,2672414"
сайла,v,54569,"470,4224138"
махсус,adj,54557,"470,3189655"
матбугат,n,54390,"468,8793103"
игътибар,n,54101,"466,387931"
ярдәм ит,v,54097,"466,3534483"
уңыш,n,54030,"465,7758621"
хакимият,n,53948,"465,0689655"
төп,adj,53703,"462,9568966"
халыкара,adj,53590,"461,9827586"
бурыч,n,53401,"460,3534483"
авыр,adj,53385,"460,2155172"
конкурс,n,53358,"459,9827586"
тарт,v,53320,"459,6551724"
менә,ij,53154,"458,2241379"
уйна,v,53110,"457,8448276"
ия,n,53069,"457,4913793"
бәйле,adj,52955,"456,5086207"
урнаш,v,52951,"456,4741379"
җитәкчелек,n,52852,"455,6206897"
хәтта,adv,52332,"451,137931"
хакында,post,52047,"448,6810345"
җәмгыять,n,51996,"448,2413793"
кыл,v,51725,"445,9051724"
төп,n,51274,"442,0172414"
бәйге,n,51194,"441,3275862"
иреш,v,50812,"438,0344828"
бәя,n,50506,"435,3965517"
мөһим,adj,50203,"432,7844828"
шарт,n,49593,"427,5258621"
хәбәр,n,49563,"427,2672414"
ишет,v,49502,"426,7413793"
бина,n,49479,"426,5431034"
тиз,adj,49467,"426,4396552"
киләчәк,n,49403,"425,887931"
элек,post,49267,"424,7155172"
гасыр,n,48940,"421,8965517"
мәйдан,n,48938,"421,8793103"
үл,v,48929,"421,8017241"
башка,adj,48573,"418,7327586"
хатын-кыз,n,48493,"418,0431034"
шуңа күрә,cnjadv,48467,"417,8189655"
ак,adj,48412,"417,3448276"
ут,n,48352,"416,8275862"
үстерү,n,48201,"415,5258621"
шактый,adj,48169,"415,25"
билгеле,adj,48166,"415,2241379"
дус,n,47907,"412,9913793"
рәхмәт,n,47893,"412,8706897"
куллан,v,47753,"411,6637931"
хәрби,adj,47739,"411,5431034"
сөйләш,v,47492,"409,4137931"
җан,n,47435,"408,9224138"
система,n,47393,"408,5603448"
тәэмин ит,v,47381,"408,4568966"
җитештер,v,47148,"406,4482759"
мөрәҗәгать,n,47057,"405,6637931"
җырла,v,46924,"404,5172414"
дөрес,adj,46913,"404,4224138"
эзлә,v,46654,"402,1896552"
юнәлеш,n,46348,"399,5517241"
әлбәттә,ij,46299,"399,1293103"
сәламәтлек,n,46186,"398,1551724"
ки,v,46099,"397,4051724"
укыт,v,45951,"396,1293103"
галим,n,45852,"395,2758621"
ярыш,n,45786,"394,7068966"
файдалан,v,45541,"392,5948276"
сайлау,n,45223,"389,8534483"
фестиваль,n,45029,"388,1810345"
сыйфат,n,44998,"387,9137931"
хат,n,44973,"387,6982759"
түбән,adj,44931,"387,3362069"
вакыйга,n,44919,"387,2327586"
үтә,v,44889,"386,9741379"
уңай,n,44595,"384,4396552"
май,n,44547,"384,0258621"
а,ij,44541,"383,9741379"
йөрәк,n,44475,"383,4051724"
олы,adj,44459,"383,2672414"
тәртип,n,44412,"382,862069"
аз,adj,44111,"380,2672414"
ана,n,44038,"379,637931"
йөз,n,43960,"378,9655172"
чират,n,43960,"378,9655172"
атна,n,43838,"377,9137931"
аңлат,v,43763,"377,2672414"
әйлән,v,43682,"376,5689655"
аяк,n,43631,"376,1293103"
компания,n,43615,"375,9913793"
берлек,n,43394,"374,0862069"
катнашучы,n,43381,"373,9741379"
җиңү,n,43194,"372,362069"
теләк,n,42962,"370,362069"
озак,adj,42862,"369,5"
җиткер,v,42857,"369,4568966"
төшер,v,42756,"368,5862069"
кайбер,det,42744,"368,4827586"
заман,n,42470,"366,1206897"
бүләк,n,42406,"365,5689655"
концерт,n,42348,"365,0689655"
институт,n,42295,"364,612069"
ачык,adj,42287,"364,5431034"
универсиада,n,42264,"364,3448276"
башкала,n,42140,"363,2758621"
торак,adj,42054,"362,5344828"
хәрәкәт,n,41885,"361,0775862"
сыйныф,n,41848,"360,7586207"
музей,n,41672,"359,2413793"
барысы,adv,41569,"358,3534483"
чит,n,41467,"357,4741379"
бар,n,41318,"356,1896552"
оныт,v,41310,"356,1206897"
бөек,adj,41245,"355,5603448"
ветеран,n,41200,"355,1724138"
сәхнә,n,41195,"355,1293103"
өлкән,adj,41182,"355,0172414"
нәкъ,adv,41090,"354,2241379"
тудыр,v,41036,"353,7586207"
хан,n,40962,"353,1206897"
хис,n,40872,"352,3448276"
депутат,n,40795,"351,6810345"
әби,n,40645,"350,387931"
ташла,v,40643,"350,3706897"
тулы,adj,40427,"348,5086207"
күч,v,40241,"346,9051724"
журналист,n,40167,"346,2672414"
көрәш,n,40150,"346,1206897"
артист,n,40040,"345,1724138"
хәл ит,v,40029,"345,0775862"
урман,n,40004,"344,862069"
малай,n,39984,"344,6896552"
әнә,adv,39909,"344,0431034"
булды,ij,39904,344
фәнни,adj,39866,"343,6724138"
туры,adj,39810,"343,1896552"
эчке,adj,39761,"342,7672414"
ачыкла,v,39720,"342,4137931"
ышан,v,39569,"341,112069"
хәзрәт,n,39538,"340,8448276"
мәдәни,adj,39381,"339,4913793"
фонд,n,39090,"336,9827586"
авыру,n,39087,"336,9568966"
орган,n,39034,"336,5"
шөгыльлән,v,39011,"336,3017241"
тәрбиялә,v,38937,"335,6637931"
мөнәсәбәт,n,38856,"334,9655172"
бигрәк,adv,38833,"334,7672414"
кыса,n,38774,"334,2586207"
яра,v,38699,"333,612069"
тыш,n,38682,"333,4655172"
башкарма,adj,38593,"332,6982759"
ягъни,cnjsub,38470,"331,637931"
арттыр,v,38409,"331,112069"
бүл,v,38337,"330,4913793"
мәсәлән,ij,38211,"329,4051724"
яула,v,38157,"328,9396552"
тәшкил ит,v,38098,"328,4310345"
әгәр,cnjsub,38058,"328,0862069"
буй,n,37995,"327,5431034"
әгъза,n,37939,"327,0603448"
автор,n,37903,"326,75"
тел,v,37815,"325,9913793"
еллык,adj,37781,"325,6982759"
төр,n,37593,"324,0775862"
язмыш,n,37562,"323,8103448"
тул,v,37456,"322,8965517"
бет,v,37355,"322,0258621"
тыңла,v,37249,"321,112069"
вә,cnjcoo,37167,"320,4051724"
элек,adv,37090,"319,7413793"
кара,adj,37081,"319,6637931"
ат,v,37000,"318,9655172"
бел,vaux,37000,"318,9655172"
бюджет,n,36914,"318,2241379"
эч,v,36885,"317,9741379"
транспорт,n,36780,"317,0689655"
ят,v,36754,"316,8448276"
яшәү,n,36735,"316,6810345"
ат,n,36712,"316,4827586"
хуҗа,n,36583,"315,3706897"
очраш,v,36487,"314,5431034"
аллаһ,n,36481,"314,4913793"
хөрмәт,n,36470,"314,3965517"
бүләклә,v,36331,"313,1982759"
ачу,n,36328,"313,1724138"
каршы,post,36165,"311,7672414"
бәхет,n,36119,"311,3706897"
үзгәреш,n,35967,"310,0603448"
күзәт,v,35922,"309,6724138"
медицина,n,35915,"309,612069"
табиб,n,35821,"308,8017241"
төзү,n,35701,"307,7672414"
икътисади,adj,35564,"306,5862069"
федерация,n,35517,"306,1810345"
кайбер,prn,35468,"305,7586207"
еш,adj,35429,"305,4224138"
тема,n,35285,"304,1810345"
көчле,adj,35275,"304,0948276"
кечкенә,adj,35253,"303,9051724"
план,n,35253,"303,9051724"
шәхси,adj,35102,"302,6034483"
тиешле,adj,35019,"301,887931"
ахыр,n,35009,"301,8017241"
конференция,n,35001,"301,7327586"
комиссия,n,34953,"301,3189655"
нык,adj,34840,"300,3448276"
якла,v,34733,"299,4224138"
аеруча,adv,34691,"299,0603448"
документ,n,34685,"299,0086207"
дәрес,n,34668,"298,862069"
барыш,n,34577,"298,0775862"
зат,n,34506,"297,4655172"
җавап,n,34472,"297,1724138"
күптән,adv,34436,"296,862069"
ватан,n,34417,"296,6982759"
мәхәббәт,n,34404,"296,5862069"
бәлки,cnjcoo,34388,"296,4482759"
урта,adj,34343,"296,0603448"
сәүдә,n,34322,"295,8793103"
ишек,n,34268,"295,4137931"
кире,adj,34259,"295,3362069"
иске,adj,34229,"295,0775862"
тирә,n,34203,"294,8534483"
тәҗрибә,n,34200,"294,8275862"
аннары,adv,34193,"294,7672414"
тантана,n,34126,"294,1896552"
теркә,v,34121,"294,1465517"
уку йорты,n,34117,"294,112069"
тамашачы,n,34102,"293,9827586"
изге,adj,34033,"293,387931"
агач,n,34012,"293,2068966"
ерак,adj,33785,"291,25"
килеш,v,33759,"291,0258621"
турындагы,adj,33731,"290,7844828"
бар,det,33715,"290,6465517"
аер,v,33646,"290,0517241"
сатып ал,v,33589,"289,5603448"
йөрт,v,33450,"288,362069"
җиңел,adj,33395,"287,887931"
карата,post,33315,"287,1982759"
кат,n,33173,"285,9741379"
утыр,vaux,33047,"284,887931"
киң,adj,33006,"284,5344828"
премьер-министр,n,32986,"284,362069"
күргәзмә,n,32985,"284,3534483"
исәплә,v,32978,"284,2931034"
бәялә,v,32876,"283,4137931"
яшьлек,adj,32858,"283,2586207"
ур,v,32801,"282,7672414"
алтын,n,32705,"281,9396552"
бергә,post,32667,"281,612069"
җинаять,n,32656,"281,5172414"
комплекс,n,32611,"281,1293103"
сөт,n,32562,"280,7068966"
завод,n,32532,"280,4482759"
котла,v,32464,"279,862069"
җирлек,n,32363,"278,9913793"
торак,n,32357,"278,9396552"
шәхес,n,32226,"277,8103448"
фатир,n,32215,"277,7155172"
элемтә,n,32190,"277,5"
буын,n,32105,"276,7672414"
әлегә,adv,32042,"276,2241379"
ассызыкла,v,31987,"275,75"
димәк,ij,31951,"275,4396552"
исемле,adj,31932,"275,2758621"
яр,n,31881,"274,8362069"
кыр,n,31854,"274,6034483"
ярты,n,31842,"274,5"
юк,ij,31819,"274,3017241"
табигать,n,31694,"273,2241379"
клуб,n,31656,"272,8965517"
хезмәттәшлек,n,31511,"271,6465517"
җавап бир,v,31424,"270,8965517"
сиз,v,31394,"270,637931"
суд,n,31366,"270,3965517"
дәвам,n,31365,"270,387931"
һава,n,31333,"270,112069"
лаек,adj,31315,"269,9568966"
бүлмә,n,31314,"269,9482759"
чит ил,n,31284,"269,6896552"
үстер,v,31237,"269,2844828"
якын,post,31202,"268,9827586"
төзе,v,31123,"268,3017241"
гомумән,adv,31101,"268,112069"
кичер,v,31091,"268,0258621"
җирле,adj,31078,"267,9137931"
үзәк,adj,31031,"267,5086207"
нефть,n,30795,"265,4741379"
зал,n,30758,"265,1551724"
иҗтимагый,adj,30756,"265,137931"
технология,n,30695,"264,612069"
җырчы,n,30671,"264,4051724"
өйрәт,v,30659,"264,3017241"
өлгер,v,30653,"264,25"
әле,cnjcoo,30623,"263,9913793"
граждан,n,30596,"263,7586207"
тарихи,adj,30556,"263,4137931"
бераз,adv,30481,"262,7672414"
киңәшмә,n,30478,"262,7413793"
сына,v,30426,"262,2931034"
караш,n,30373,"261,8362069"
тармак,n,30306,"261,2586207"
урта,n,30272,"260,9655172"
партия,n,30230,"260,6034483"
булдыр,v,30177,"260,1465517"
рәсми,adj,30161,"260,0086207"
объект,n,30154,"259,9482759"
кор,v,30123,"259,6810345"
оста,n,30117,"259,6293103"
тапшыру,n,29882,"257,6034483"
шушы,prn,29814,"257,0172414"
тәрбия,n,29807,"256,9568966"
җиң,v,29726,"256,2586207"
тукта,v,29685,"255,9051724"
расла,v,29664,"255,7241379"
кече,adj,29663,"255,7155172"
мәгънә,n,29456,"253,9310345"
килешү,n,29429,"253,6982759"
бакча,n,29302,"252,6034483"
кыска,adj,29275,"252,3706897"
бердәм,adj,29267,"252,3017241"
күчер,v,29228,"251,9655172"
әйбер,n,29222,"251,9137931"
апрель,n,29177,"251,5258621"
юлла,v,29143,"251,2327586"
ял,n,29133,"251,1465517"
журнал,n,29118,"251,0172414"
как,v,29089,"250,7672414"
роль,n,29037,"250,3189655"
җиңүче,n,29021,"250,1810345"
бабай,n,28973,"249,7672414"
кар,n,28966,"249,7068966"
бөтенләй,adv,28935,"249,4396552"
март,n,28918,"249,2931034"
бир,vaux,28908,"249,2068966"
территория,n,28906,"249,1896552"
учреждение,n,28857,"248,7672414"
төн,n,28763,"247,9568966"
әдәби,adj,28704,"247,4482759"
тупла,v,28666,"247,1206897"
өстә,v,28637,"246,8706897"
академия,n,28596,"246,5172414"
спектакль,n,28556,"246,1724138"
икътисад,n,28469,"245,4224138"
язма,n,28222,"243,2931034"
кием,n,28127,"242,4741379"
бары тик,cnjcoo,28024,"241,5862069"
ислам,n,27971,"241,1293103"
гади,adj,27967,"241,0948276"
тонна,n,27928,"240,7586207"
пенсия,n,27918,"240,6724138"
төс,n,27825,"239,8706897"
телефон,n,27802,"239,6724138"
елгы,adj,27785,"239,5258621"
интернет,n,27770,"239,3965517"
дини,adj,27677,"238,5948276"
кызыл,adj,27630,"238,1896552"
борын,adv,27607,"237,9913793"
сәясәт,n,27597,"237,9051724"
декабрь,n,27533,"237,3534483"
аралаш,v,27362,"235,8793103"
ят,vaux,27351,"235,7844828"
иң яхшы,adj,27271,"235,0948276"
килеп чык,v,27271,"235,0948276"
бетер,v,27270,"235,0862069"
чыгу,n,27203,"234,5086207"
сентябрь,n,27123,"233,8189655"
июнь,n,27063,"233,3017241"
әйе,ij,26988,"232,6551724"
өстәл,n,26935,"232,1982759"
һаман,adv,26917,"232,0431034"
югалт,v,26884,"231,7586207"
актив,adj,26878,"231,7068966"
кайтар,v,26824,"231,2413793"
бет,vaux,26804,"231,0689655"
моң,n,26753,"230,6293103"
август,n,26687,"230,0603448"
продукция,n,26649,"229,7327586"
бастыр,v,26628,"229,5517241"
чәчәк,n,26618,"229,4655172"
гел,adv,26604,"229,3448276"
ак,v,26515,"228,5775862"
җәй,n,26515,"228,5775862"
суз,v,26494,"228,3965517"
үрнәк,n,26418,"227,7413793"
шулай да,cnjadv,26380,"227,4137931"
кан,n,26321,"226,9051724"
күрсәткеч,n,26313,"226,8362069"
яп,v,26296,"226,6896552"
хезмәт ит,v,26293,"226,6637931"
тау,n,26286,"226,6034483"
бәйлә,v,26204,"225,8965517"
сөйләшү,n,26191,"225,7844828"
материал,n,26190,"225,7758621"
борчы,v,26181,"225,6982759"
туй,n,26162,"225,5344828"
музыка,n,26160,"225,5172414"
сер,n,26091,"224,9224138"
бетер,vaux,25984,224
кыш,n,25939,"223,612069"
уңай,adj,25938,"223,6034483"
мәртәбә,n,25934,"223,5689655"
әзерлек,n,25914,"223,3965517"
бер генә,adj,25881,"223,112069"
әлеге,adj,25866,"222,9827586"
уй,n,25814,"222,5344828"
әзер,adj,25775,"222,1982759"
әти-әни,n,25760,"222,0689655"
той,v,25704,"221,5862069"
гадәт,n,25683,"221,4051724"
бөтендөнья,adj,25664,"221,2413793"
октябрь,n,25657,"221,1810345"
арка,n,25585,"220,5603448"
яклау,n,25547,"220,2327586"
спортчы,n,25539,"220,1637931"
генераль,adj,25497,"219,8017241"
коллектив,n,25488,"219,7241379"
уңышлы,adj,25450,"219,3965517"
елга,n,25431,"219,2327586"
янгын,n,25410,"219,0517241"
ти,v,25387,"218,8534483"
состав,n,25327,"218,3362069"
бергә,adv,25211,"217,3362069"
башкорт,n,25206,"217,2931034"
гыйнвар,n,25167,"216,9568966"
озат,v,25121,"216,5603448"
минут,n,25068,"216,1034483"
метр,n,25056,216
сәяси,adj,25044,"215,8965517"
ал,adj,24965,"215,2155172"
сайт,n,24810,"213,8793103"
июль,n,24737,"213,25"
өмет,n,24707,"212,9913793"
бары,prn,24693,"212,8706897"
ата-ана,n,24683,"212,7844828"
өз,v,24659,"212,5775862"
өстәмә,adj,24659,"212,5775862"
карар,n,24647,"212,4741379"
тәкъдим,n,24594,"212,0172414"
җәлеп ит,v,24575,"211,8534483"
чагыштыр,v,24449,"210,7672414"
техника,n,24439,"210,6810345"
кибет,n,24416,"210,4827586"
һәркем,prn,24376,"210,137931"
ит,n,24291,"209,4051724"
форум,n,24247,"209,0258621"
агентлык,n,24221,"208,8017241"
бай,adj,24216,"208,7586207"
искә ал,v,24202,"208,637931"
ноябрь,n,24199,"208,612069"
бит,n,24158,"208,2586207"
шулай ит,v,24125,"207,9741379"
утырт,v,24105,"207,8017241"
чик,n,24101,"207,7672414"
автомобиль,n,24089,"207,6637931"
яз,vaux,23995,"206,8534483"
таләп ит,v,23948,"206,4482759"
медаль,n,23928,"206,2758621"
баз,v,23859,"205,6810345"
сәнәгать,n,23828,"205,4137931"
кичә,adv,23804,"205,2068966"
исемлек,n,23803,"205,1982759"
кайда,adv,23790,"205,0862069"
кагыйдә,n,23775,"204,9568966"
таләп,n,23724,"204,5172414"
яз,n,23690,"204,2241379"
авыз,n,23655,"203,9224138"
агым,n,23633,"203,7327586"
